Titulo,Artista,Album,Género,Año,Ruta
Sou Favela,MC Bruninho,Sou Favela,2021,,E:\Música\Dia!\MC Bruninho   Sou Favela.mp3
Happy Endings (feat. iann dior and UPSAHL),Mike Shinoda,Happy Endings (feat. iann dior and UPSAHL),2021,,E:\Música\Dia!\Mike Shinoda   Happy Endings (feat iann dior and UPSAHL).mp3
白ユキ,Milkoi,白ユキ,2021,,E:\Música\Dia!\Milkoi   白ユキ.mp3
Renegades,ONE OK ROCK,Renegades,2021,,E:\Música\Dia!\ONE OK ROCK   Renegades.mp3
Re:make  ,ONE OK ROCK,Zankyo Reference,,,E:\Música\Dia!\ONE OK ROCK-ReMake.mp3
 Somebody To Love ,OneRepublic,Human,2021,Indie / Alternative,E:\Música\Dia!\OneRepublic Somebody To Love.mp3
11:11,Paz,11:11,2021,,E:\Música\Dia!\Paz   11 11.mp3
Come Back Home,Petey Martin,Come Back Home,2021,,E:\Música\Dia!\Petey Martin   Come Back Home.mp3
Chroma,Pixel Terror,Chroma,2020,,E:\Música\Dia!\Pixel Terror   Chroma.mp3
All We Got (feat. KIDDO),Robin Schulz,All We Got (feat. KIDDO),2020,,E:\Música\Dia!\Robin Schulz   All We Got (feat KIDDO)mp3.mp3
Stay,SirensCeol,Stay,2021,,E:\Música\Dia!\SirensCeol   Staymp3.mp3
My demons remix trap,SEKEBOL,Starset - My Demons (Kang Remix),,,E:\Música\Dia!\Starset - My Demons (Kang Remix)(MP3_128K).mp3
I Love My Friends,Steve Aoki,Neon Future IV,2020,,E:\Música\Dia!\Steve Aoki   I Love My Friendsmp3.mp3
Never Be Alone,TheFatRat,Never Be Alone,2015,,E:\Música\Dia!\TheFatRat   Never Be Alonemp3.mp3
Last Summer,Tokyo Machine,Last Summer,2021,,E:\Música\Dia!\Tokyo Machine   Last Summermp3.mp3
Coming Up,Tungevaag,Coming Up,2017,,E:\Música\Dia!\Tungevaag   Coming Up.mp3
Missing Piece (Acoustic),Vance Joy,Missing Piece (Acoustic),2021,,E:\Música\Dia!\Vance Joy   Missing Piece (Acoustic)mp3.mp3
Kingdoms & Castles (feat. tribes) (Still Kids Remix),Virtual Riot,Kingdoms & Castle Ft. Tribes (Still Kids Remix),2020,,E:\Música\Dia!\Virtual Riot   Kingdoms   Castles (feat tribes) (Still Kids.mp3
Time Will Tell,Yonetro,Time Will Tell,2019,Future Base ,E:\Música\Dia!\Yonetro   Time Will Tell.mp3
You're Somebody Else (Young Bombs Remix),flora cash,You're Somebody Else,20200523,,E:\Música\Dia!\You re Somebody Else (Young Bombs Remix) - Flora Cash.mp3
『だから僕は音楽を辞めた』をバンドで演奏してみた☆【ストイック高校】,【ストイック高校】,『だから僕は音楽を辞めた』をバンドで演奏してみた☆【ストイック高校】,,,E:\Música\Dia!\『だから僕は音楽を辞めた』をバンドで演奏してみた☆【ストイック高校】.mp3
05410,RADWIMPS,RADWIMPS4~おかずのごはん~,2006,Rock,E:\Música\Dia!\【自作PV】05410－(ん)_RADWIMPS(MP3_128K).mp3
Comfort Chain,Instupendo,Comfort Chain,2017,(159)Electro,E:\Música\Dia!2\01 Instupendo - Comfort Chain.mp3
Solo Dance,Martin Jensen,Solo Dance,2016,(13)Pop,E:\Música\Dia!2\01 Martin Jensen - Solo Dance.mp3
Fireflies,Owl City,Fireflies (Germany 2Trk),2009,Vaihtoehtoinen,E:\Música\Dia!2\01 Owl City - Fireflies.mp3
Get Down,Quintino,Get Down,2018,(3)Dance,E:\Música\Dia!2\01 Quintino - Get Down (1).mp3
Oblivion (feat. Lily Potter),Rufi-O,Oblivion (feat. Lily Potter),2018,Rap/Hip Hop,E:\Música\Dia!2\01 Rufi-O - Oblivion (feat. Lily Potter).mp3
The One,The Chainsmokers,Memories...Do Not Open,2017,(3)Dance,E:\Música\Dia!2\01 The Chainsmokers - The One.mp3
Lily,ラックライフ,Lily,,,E:\Música\Dia!2\01 ラックライフ - Lily.mp3
Fix You,Coldplay,X&Y,2005,(17)Rock,E:\Música\Dia!2\04 Coldplay - Fix You.mp3
Sign,Flow,Anime Best Kiwami,2016,(13)Pop,E:\Música\Dia!2\05 Flow - Sign.mp3
Maybe IDK,Jon Bellion,The Human Condition,2016,(13)Pop,E:\Música\Dia!2\06 Jon Bellion - Maybe IDK.mp3
ただ君に晴れ,ヨルシカ,負け犬にアンコールはいらない,,,E:\Música\Dia!2\07 ヨルシカ - ただ君に晴れ.mp3
Bloom,Dabin,Wild Youth,2019,(159)Electro,E:\Música\Dia!2\09 Dabin - Bloom.mp3
Broken Ones,Illenium,ASCEND,2019,(3)Dance,E:\Música\Dia!2\09 Illenium - Broken Ones.mp3
Seasons (Futuristik & Whogaux Remix),Rival,NCS: Alpha,2018,(159)Electro,E:\Música\Dia!2\09 Rival - Seasons (Futuristik & Whogaux Remix).mp3
Sway,Michael Bublé,Michael Bublé (US Version),2003,(13)Pop,E:\Música\Dia!2\10 Michael Bublé - Sway.mp3
High,The Chainsmokers,So Far So Good,,,E:\Música\Dia!2\2. The Chainsmokers - High.mp3
Day 'n' Nite,Kid Kudi,Once Upon a Time in 2008,2015,Rap/Hip Hop,E:\Música\Dia!2\31 Kid Kudi - Day 'n' Nite.mp3
Yoru No Pierrot (TeddyLoid Remix),Ado,Yoru No Pierrot (TeddyLoid Remix),,,E:\Música\Dia!2\Ado - Yoru No Pierrot (TeddyLoid Remix).mp3
Amour plastique - VIDEOCLUB (Subtitulada),Videoclub,Videoclub,,,E:\Música\Dia!2\Amour plastique - VIDEOCLUB (Subtitulada)(MP3_320K).mp3
Around Me,Noctilucent,Drowning,2016,Downtempo,E:\Música\Dia!2\Around Me - Noctilucent.mp3
The XX - Angels (Bashki Remix) [slowed],The xx ,The xx ,,,E:\Música\Dia!2\AUD-20220512-WA0042.mp3
Buttercup,Jack Stauber,Pop Food,2017,(13)Pop,E:\Música\Dia!2\AUD-20220518-WA0094.mp3
Here Comes The Sun (Remastered 2009),The Beatles,Abbey Road (Remastered),,,E:\Música\Dia!2\AUD-20220526-WA0033.mp3
You,Beatcore,Lunar Paradise,2021-09-30,Электронная музыка,E:\Música\Dia!2\Beatcore - You.mp3
Nothin' on You (feat. Bruno Mars),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,2010-04-27,Rap/Hip Hop,E:\Música\Dia!2\BoB - Nothin' on You (feat Bruno Mars).mp3
Contigo,BoyWithUke,Serotonin Dreams,,,E:\Música\Dia!2\BoyWithUke - Contigo (1).mp3
Long Drives,BoyWithUke,Long Drives,2022-01-21,Альтернативная музыка,E:\Música\Dia!2\BoyWithUke - Long Drives (1).mp3
Lemon Boy,Cavetown,Lemon Boy,,,E:\Música\Dia!2\Cavetown - Lemon Boy.mp3
Right Into You,Claptone,Closer,,,E:\Música\Dia!2\Claptone - Right Into You.mp3
Minami (Xplosn Remix),Crying for Rain,Minami (Xplosn Remix),2021,Future Bounce ,E:\Música\Dia!2\Crying for Rain - Minami (Xplosn Remix).mp3
24 Hour (Red Comet Remix),Culture Code,24 Hours,,,E:\Música\Dia!2\Culture Code - 24 Hour (Red Comet Remix) (1).mp3
Eden,Dante Levo,Eden,2019-06-20,Melodic Dubstep; Dubstep,E:\Música\Dia!2\Dante Levo - Eden.mp3
Sei Sei (Tô Ligado),DH8,Sei Sei (Tô Ligado),,,E:\Música\Dia!2\DH8 - Sei Sei (Tô Ligado).mp3
Don't Let Me Let Go,Dillon Francis,Don’t Let Me Let Go,,,E:\Música\Dia!2\Dillon Francis - Don t Let Me Let Go.mp3
,,,,,E:\Música\Dia!2\Dj Quads - Fun Time .mp3
4U,Elias Frederick,4U,,,E:\Música\Dia!2\Elias Frederick - 4U.mp3
Nandemonaiya,Ericovich & L.Kaison,Nandemonaiya,2022-04-22,Melodic Dubstep,E:\Música\Dia!2\Ericovich & L.Kaison - Nandemonaiya.mp3
,,,,,E:\Música\Dia!2\Fiore Flow - ( Soul ) Dj Quads Remix .mp3
Ginseng Strip 2002,Yung Lean,,,,E:\Música\Dia!2\Ginseng Strip 2002 - Yung Lean.mp3
Lemon Tree,Gustixa,Lemon Tree,,,E:\Música\Dia!2\Gustixa - Lemon Tree (1).mp3
Happiness,Vexento,Happiness,2016,(159)Electro,E:\Música\Dia!2\Happiness-Vexento.mp3
As It Was,Harry Styles,As It Was,,,E:\Música\Dia!2\Harry Styles - As It Was.mp3
Drive,Heuse,Drive,2022-04-29,Future Bass,E:\Música\Dia!2\Heuse - Drive.mp3
State of Wonder,Inverness,State of Wonder,,,E:\Música\Dia!2\Inverness - State of Wonder (1).mp3
Portugal,Kawe,Portugal,,,E:\Música\Dia!2\Kawe - Portugal.mp3
future base,Kizuna AI,future base,,,E:\Música\Dia!2\Kizuna AI - future base.mp3
Lunar Tear,Kotori,Lunar Tear,,,E:\Música\Dia!2\Kotori - Lunar Tear.mp3
Eu ainda tô aqui,Lil Chainz,Eu ainda tô aqui,,,E:\Música\Dia!2\Lil Chainz - Eu ainda tô aqui.mp3
Say Something (RetroVision Remix),Lucas & Steve,Say Something (The Remixes),,,E:\Música\Dia!2\Lucas   Steve - Say Something (RetroVision Remix).mp3
Memories,Maroon 5,Trending Now Volume 9,,,E:\Música\Dia!2\Maroon 5 - Memories.mp3
Hush,N.E.B.  Reapecks & AMU6iX,Hush,2022-07-01,Trap,E:\Música\Dia!2\N.E.B.  Reapecks & AMU6iX - Hush.mp3
Stars Belong With You,N3WPORT & Medyk,Stars Belong With You,2022-05-26,Melodic Dubstep,E:\Música\Dia!2\N3WPORT & Medyk - Stars Belong With You.mp3
You Don't Know Me,Ofenbach,You Don't Know Me,,,E:\Música\Dia!2\Ofenbach - You Don t Know Me.mp3
Back Again,Panda Eyes,Back Again,,,E:\Música\Dia!2\Panda Eyes - Back Again.mp3
Party Favor (Gustixa Remix),Billie Eilish ,dont smile at me,,,E:\Música\Dia!2\Party Favor - Gustixia.mp3
Enemy (with Shane Told of Silverstein),Phaseone,Enemy (with Shane Told of Silverstein),,,E:\Música\Dia!2\Phaseone - Enemy (with Shane Told of Silverstein).mp3
fullmoon lullaby (DFAN Remix),Porter Robinson,nurture,2022,,E:\Música\Dia!2\Porter Robinson & 水曜日のカンパネラ - fullmoon lullaby (DFAN Remix).mp3
Tell Me,Ray Volpe,Mixed Feelings,2021-05-26,UK Bassline,E:\Música\Dia!2\Ray Volpe - Tell Me.mp3
We Are The Lights,Rico & Miella,We Are The Lights,,,E:\Música\Dia!2\Rico   Miella - We Are The Lights.mp3
Moratorium,ROOKIEZ IS PUNK'D,The Sun Also Rises,,,E:\Música\Dia!2\ROOKIEZ IS PUNK D - Moratorium.mp3
Walk Me Home,Said The Sky,Walk Me Home,,,E:\Música\Dia!2\Said The Sky - Walk Me Home.mp3
you’ve changed  i’ve changed,San Holo,you’ve changed  i’ve changed,,,E:\Música\Dia!2\San Holo - you ve changed  i ve changed.mp3
Dancing With Your Ghost,Chiiro x Fusiion Chill,Dancing With Your Ghost,,,E:\Música\Dia!2\Sasha Sloan - Dancing With Your Ghost [Chiiro x Fusiion Chill ReMix]----(MP3_320K).mp3
Roses & Ribbons (feat. Nila),Synthion,Roses & Ribbons (feat. Nila) - Single,2022,Future Bass,E:\Música\Dia!2\Synthion & Nila - Roses & Ribbons .mp3
SO DONE,The Kid Laroi,F*CK LOVE 3: OVER YOU,,,E:\Música\Dia!2\The Kid Laroi - SO DONE.mp3
Try again,Usao,Kick's For Liberation 7,2020-06-12,,E:\Música\Dia!2\Usao - Try again.mp3
The Navigator,Vian Izak,The Navigator (Deluxe Edition),,,E:\Música\Dia!2\Vian Izak - The Navigator.mp3
Butterflies (Sam Lamar Remix),William Black,Butterflies (Remixes),,,E:\Música\Dia!2\William Black - Butterflies (Sam Lamar Remix).mp3
雨のち晴れ,gb,雨のち晴れ,2021,J-Pop,E:\Música\Dia!2\雨のち晴れ - gb.mp3
Obsession,Consoul Trainin,Obsession,2017,(159)Electro,E:\Música\Edits\01 Consoul Trainin - Obsession.mp3
Sky High,Elektronomia,Sky High,2016,Elektro,E:\Música\Edits\01 Elektronomia - Sky High.mp3
Roses (Imanbek Remix),Saint Jhn,Roses (Imanbek Remix),2019,(3)Dance,E:\Música\Edits\01 Saint Jhn - Roses (Imanbek Remix).mp3
Eat You Alive,Cadmium,Eat You Alive,,,E:\Música\Edits\Cadmium - Eat You Alive.mp3
Safe & Sound,Different Heaven,NCS: The Best of 2016,2016,(159)Electro,E:\Música\Elektro\01 Different Heaven - Safe & Sound.mp3
Winnebago,Gryffin,Winnebago,2018,(3)Dance,E:\Música\Elektro\01 Gryffin - Winnebago(1).mp3
Pill,Heuse & Zeus X Crona,Pill,2016,Elektro,E:\Música\Elektro\01 Heuse   Zeus X Crona - Pill.mp3
Monster,LUM!X,Monster,2019,Miscellaneous,E:\Música\Elektro\01 LUM!X - Monster.mp3
Happier,Marshmello,Happier,2018,(3)Dance,E:\Música\Elektro\01 Marshmello - Happier.mp3
Forbidden Voices,Martin Garrix,Forbidden Voices,2015,(3)Dance,E:\Música\Elektro\01 Martin Garrix - Forbidden Voices.mp3
Wait Another Day,Mike Williams,Wait Another Day,2018,(3)Dance,E:\Música\Elektro\01 Mike Williams - Wait Another Day.mp3
Lullaby,R3HAB,Lullaby,,(3)Dance,E:\Música\Elektro\01 R3hab - Lullaby.mp3
Starflight,R3hab,Starflight,2018,(3)Dance,E:\Música\Elektro\01 R3hab - Starflight.mp3
Road So Far,Tonyz,Road So Far,2017,(159)Electro,E:\Música\Elektro\01 Road So Far - Tonyz.mp3
Gizmo,Syn Cole,Gizmo,2019,Elektro,E:\Música\Elektro\01 Syn Cole - Gizmo(1).mp3
Inspiration,Unknown Brain,Inspiration,2017,(159)Electro,E:\Música\Elektro\01 Unknown Brain - Inspiration.mp3
Why Do I Try,Gill Chang,Why Do I Try,,,E:\Música\Elektro\01 Why Do I Try - Gill Chang.mp3
Etude,Nero,Won't You (Be There) EP,2012,(159)Electro,E:\Música\Elektro\02 Nero - Etude.mp3
Access,Martin Garrix,BYLAW EP,2018,Elektro,E:\Música\Elektro\04 Martin Garrix - Access.mp3
Professional Griefers,Deadmau5,> Album Title Goes Here <,2012,(3)Dance,E:\Música\Elektro\05 Deadmau5 - Professional Griefers.mp3
High,JPB,NCS: Infinity,2015,Elektro,E:\Música\Elektro\05 JPB - High.mp3
Rattle (Original Mix),Bingo Players,Spinnin' Records Miami Sampler 2012,2012,(3)Dance,E:\Música\Elektro\06 Bingo Players - Rattle (Original Mix).mp3
Nekozilla,Different Heaven,NCS: Infinity,2015,(159)Electro,E:\Música\Elektro\06 Different Heaven - Nekozilla.mp3
Let Me Love You,DJ Snake,Encore,2016,(3)Dance,E:\Música\Elektro\13 DJ Snake - Let Me Love You.mp3
It's All on U (T-Mass & LZRD Remix),Illenium,Ashes (Remixes),2016,Elektro,E:\Música\Elektro\14 Illenium - It s All on U (T-Mass   LZRD Remix).mp3
Firefly,Jim Yosef,NCS: The Best of 2015,2015,(159)Electro,E:\Música\Elektro\16 Jim Yosef - Firefly.mp3
Nova,Ahrix,Greatest House,2018-18-00,(159),E:\Música\Elektro\Ahrix - Nova.mp3
Feel It Now,Alleviate,Feel It Now,,,E:\Música\Elektro\Alleviate - Feel It Now.mp3
Ily,Axol,Ily,,,E:\Música\Elektro\Axol - Ily.mp3
Slayer,F.O.O.L,Slayer,2015-01-08,Dance,E:\Música\Elektro\F.O.O.L - Slayer.mp3
High,JPB,High,,,E:\Música\Elektro\JPB - High.mp3
GLADIATOR (Remix),KSHMR ,GLADIATOR (Remix),,Psy Trance,E:\Música\Elektro\KSHMR & Mark Sixma - GLADIATOR (Remix).mp3
Winners Anthem,KSHMR,Winners Anthem,,,E:\Música\Elektro\KSHMR - Winners Anthem.mp3
Enigma,Pixel Terror  Aviella,Monstercat - Best of 2020,2020,Electro,E:\Música\Elektro\Pixel Terror  Aviella - Enigma.mp3
Dopamine,S3RL,Dopamine,,,E:\Música\Elektro\S3RL - Dopamine.mp3.mp3
Victory,SunnYz,Victory,,,E:\Música\Elektro\SunnYz - Victory.mp3
Take Me Away,NATSUMI,Take Me Away,2021,,E:\Música\Elektro\Track_ NATSUMI - Take Me Away [NCS Release].mp3
Another Life,Afrojack,Another Life,2017,(3)Dance,E:\Música\Elektro media\01 Afrojack - Another Life.mp3
You,Axol & Alex Skrindo,You,2016,Elektro,E:\Música\Elektro media\01 Axol   Alex Skrindo - You(1).mp3
Mars,Axol,Mars,2017,(159)Electro,E:\Música\Elektro media\01 Axol - Mars.mp3
When We Were Young,Charlie Brennan & Miller Guth,When We Were Young,2017,(3)Dance,E:\Música\Elektro media\01 Charlie Brennan   Miller Guth - When We Were Young.mp3
4u,Convex,4u,2019,(159)Electro,E:\Música\Elektro media\01 Convex - 4u.mp3
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),2016,(3)Dance,E:\Música\Elektro media\01 David Guetta - This One s for You (feat. Zara Larsson) (O.mp3
Opa,Dimitri Vegas & Like Mike,Opa,2018,(159)Electro,E:\Música\Elektro media\01 Dimitri Vegas & Like Mike - Opa.mp3
Higher,Geoxor,Higher,2017,(159)Electro,E:\Música\Elektro media\01 Geoxor - Higher.mp3
Love Me Again,John Newman,Love Me Again,2013,(13)Pop,E:\Música\Elektro media\01 John Newman - Love Me Again.mp3
Pumped Up,Klingande,Pumped Up,2017,(3)Dance,E:\Música\Elektro media\01 Klingande - Pumped Up.mp3
Not Ok (Frank Walker Remix),Kygo,Not Ok (Frank Walker Remix),2019,Elektro,E:\Música\Elektro media\01 Kygo - Not Ok (Frank Walker Remix).mp3
Not Too Late,Lemaitre,1749,2016,(159)Electro,E:\Música\Elektro media\01 Lemaitre - Not Too Late.mp3
Where Have You Gone (Anywhere),Lucas & Steve,Where Have You Gone (Anywhere),2018,(3)Dance,E:\Música\Elektro media\01 Lucas & Steve - Where Have You Gone (Anywhere).mp3
Alone,Marshmello,Alone,2016,(159)Electro,E:\Música\Elektro media\01 Marshmello - Alone.mp3
Here With Me,Marshmello,Here With Me,2019,(3)Dance,E:\Música\Elektro media\01 Marshmello - Here With Me.mp3
Scared to Be Lonely,Martin Garrix,Scared to Be Lonely,2017,(159)Electro,E:\Música\Elektro media\01 Martin Garrix - Scared to Be Lonely.mp3
Lose Control,Meduza,Lose Control,2019,(3)Dance,E:\Música\Elektro media\01 Meduza - Lose Control.mp3
Memory,Elektronomia,Memory,,,E:\Música\Elektro media\01 Memory - Elektronomia.mp3
Don't Hurt (feat. Brezy),Mike Williams,Don't Hurt (feat. Brezy),2017,(159)Electro,E:\Música\Elektro media\01 Mike Williams - Don't Hurt (feat. Brezy).mp3
Holdin' On (Skrillex & Nero Remix),Monsta,I See Monstas,2015,Rap/Hip Hop,E:\Música\Elektro media\01 Monsta - Holdin  On (Skrillex   Nero Remix).mp3
All Around The World (La La La),R3hab,All Around The World (La La La),2019,(3)Dance,E:\Música\Elektro media\01 R3hab - All Around The World (La La La).mp3
Diamond Heart,Alan Walker & Sophia Somajo,Different World,2018,Dance Pop,E:\Música\Elektro media\01 Sophia Somajo - Diamond Heart.mp3
Close To The Sun,TheFatRat,Close To The Sun,2019,(159)Electro,E:\Música\Elektro media\01 TheFatRat - Close To The Sun.mp3
Fly Away,TheFatRat,Fly Away,2017,(3)Dance,E:\Música\Elektro media\01 TheFatRat - Fly Away.mp3
CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS"),Justin Timberlake,CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS"),2016,(13)Pop,E:\Música\Elektro media\01_Justin_Timberlake_CAN'T_STOP.mp3
Bring Me Back to Life,Ht Bristol  Charlie Bannister  Vincent Steele & Nine One One,Epic Indie,2014,(20)Alternative,E:\Música\Elektro media\02 Bring Me Back to Life - Ht Bristol.mp3
Just For A Moment,Gryffin,Gravity Pt. 1,2018,(3)Dance,E:\Música\Elektro media\02 Gryffin - Just For A Moment.mp3
Hold On,Illenium,ASCEND,2019,(3)Dance,E:\Música\Elektro media\02 Illenium - Hold On.mp3
Sugar (feat. Francesco Yates),Robin Schulz,SUGAR,2015,(3)Dance,E:\Música\Elektro media\02 Robin Schulz - Sugar (feat. Francesco Yates).mp3
Dandelions,Ruth B.,Safe Haven,2017,Singer & Songwriter,E:\Música\Elektro media\02 Ruth B. - Dandelions.mp3
This Is What It Feels Like,Armin van Buuren ,Intense,,(3)Dance,E:\Música\Elektro media\02_Armin_van_Buuren_feat_Trevor.mp3
I Don't Wanna Go,Alan Walker,Different World,2018,Elektro,E:\Música\Elektro media\03 Alan Walker - I Don t Wanna Go.mp3
Flames,David Guetta Feat. Sia,7,2018,(66),E:\Música\Elektro media\03 David Guetta - Flames.mp3
Kids in Love,Kygo,Kids in Love,2017,Elektro,E:\Música\Elektro media\06 Kygo - Kids in Love.mp3
Don't Stop,ATB,Movin' Melodies,1999,(159)Electro,E:\Música\Elektro media\07 ATB - Don't Stop.mp3
Lean On,Major Lazer,Teen Spirit (Original Motion Picture Soundtrack),2019,(13)Pop,E:\Música\Elektro media\08 Major Lazer - Lean On.mp3
All Falls Down,Alan Walker,Different World,2018,Elektro,E:\Música\Elektro media\10 Alan Walker - All Falls Down.mp3
Firebird,Galantis,Pharmacy,2015,(3)Dance,E:\Música\Elektro media\10 Galantis - Firebird.mp3
Lonely,Illenium,ASCEND,2019,(3)Dance,E:\Música\Elektro media\17 Lonely - Illenium.mp3
Wrong To Let You Go,MAN CUB,Wrong To Let You Go (Remixes),,,E:\Música\Elektro media\MAN CUB - Wrong To Let You Go.mp3
Together,Pegboard Nerds  More Plastic,Manifest / Together,2020-09-14,Dance,E:\Música\Elektro media\Manifest Together CD 1 TRACK 2 (320).mp3.mp3
Run No More,Nightcraft,Run No More,2021-10-01,Dance,E:\Música\Elektro media\Nightcraft - Run No More.mp3
Not My Style (R3HAB Remix),Sarah Reeves,Not My Style (R3HAB Remix),,,E:\Música\Elektro media\Sarah Reeves - Not My Style (R3HAB Remix).mp3
Way Back Home,Shaun,Take,2018,(159)Electro,E:\Música\En otro Idioma\01 Shaun - Way Back Home.mp3
The Cruel Angel's Thesis,Yoko Takahashi,Evangelion Finally,2020-10-07,Films/Games,E:\Música\En otro Idioma\012 - Yoko Takahashi - The Cruel Angel's Thesis.mp3
Sparkle - movie ver.,RADWIMPS,Your Name.,2016,Aasialainen musiikki,E:\Música\En otro Idioma\24 RADWIMPS - Sparkle - movie ver.mp3
Asa ga kuru,Aimer,Zankyosanka / Asa ga kuru,,,E:\Música\En otro Idioma\Aimer - Asa ga kuru.mp3
Zankyosanka,Aimer,Zankyosanka,,,E:\Música\En otro Idioma\Aimer - Zankyosanka.mp3
LOST IN PARADISE,Ali,LOST IN PARADISE,,,E:\Música\En otro Idioma\Ali - LOST IN PARADISE.mp3
Resister,ASCA,Hyakka Ryoran,,,E:\Música\En otro Idioma\ASCA - Resister.mp3
Pretty Savage,BLACKPINK,THE ALBUM,,,E:\Música\En otro Idioma\BLACKPINK - Pretty Savage.mp3
WHISTLE,BLACKPINK,SQUARE ONE,2016-08-08,Música Asiática,E:\Música\En otro Idioma\BLACKPINK - WHISTLE.mp3
Anatahe,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Anatahe.mp3
Bad Paradox,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Bad Paradox.mp3
Freedom,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Freedom.mp3
Happy Ending Story,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Happy Ending Story.mp3
Humming Bird,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Humming Bird.mp3
Kassai,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Kassai.mp3
Polaris,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Polaris.mp3
Stay Hope,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Stay Hope.mp3
Toge,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Toge.mp3
Volcano Dance,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Volcano Dance.mp3
Yumemigusa,Blue Encount,q.e.d,,,E:\Música\En otro Idioma\Blue Encount - Yumemigusa.mp3
Minikui ikimono,CHiCO with HoneyWorks,Minikui ikimono,,,E:\Música\En otro Idioma\CHiCO with HoneyWorks - Minikui ikimono.mp3
打上花火 (Uchiabe Hanabi) ,Daoko,打上花火,2017,J-Pop,E:\Música\En otro Idioma\DAOKO_x_Kenshi_Yonezu_米津_玄師_Uchiage_Hanabi_OST_打上花火.mp3
「心綺楼」,凋叶棕,伝,2016,Pop,E:\Música\En otro Idioma\Diao Ye Zong Feat. Meramipop - Shinkirou.mp3
Koko de Iki wo Shite,eill,Koko de Iki wo Shite,,,E:\Música\En otro Idioma\eill - Koko de Iki wo Shite.mp3.mp3
Ignite,Eir Aoi,D'azur,,,E:\Música\En otro Idioma\Eir Aoi - IGNITE.mp3
Anoko secret,Eve,Bunka,,,E:\Música\En otro Idioma\Eve - Anoko secret.mp3
Ao No Waltz,Eve,Kaikai Kitan / Ao No Waltz,,,E:\Música\En otro Idioma\Eve - Ao No Waltz.mp3
Bubble (feat. Uta),Eve,Bubble (feat. Uta),,,E:\Música\En otro Idioma\Eve - Bubble (feat. Uta).mp3
Dramaturgy,Eve,Bunka,,,E:\Música\En otro Idioma\Eve - Dramaturgy.mp3
Gunjo Sanka,Eve,Gunjo Sanka / Yuseiboushi,,,E:\Música\En otro Idioma\Eve - Gunjo Sanka.mp3
Heikousen (feat. suis from Yorushika),Eve,Heikousen,,,E:\Música\En otro Idioma\Eve - Heikousen.mp3
Kaikai Kitan,Eve,Kaikai Kitan,,,E:\Música\En otro Idioma\Eve - Kaikai Kitan.mp3
Last Dance,Eve,Otogi,,,E:\Música\En otro Idioma\Eve - Last Dance.mp3
Okinimesumama,Eve,Bunka,,,E:\Música\En otro Idioma\Eve - Okinimesumama.mp3
Shinkai,Eve,Shinkai,,,E:\Música\En otro Idioma\Eve - Shinkai.mp3
Shirayuki,Eve,Shirayuki,,,E:\Música\En otro Idioma\Eve - Shirayuki.mp3
Yoku,Eve,Kaizin,,,E:\Música\En otro Idioma\Eve - Yoku.mp3
Yuseiboushi,Eve,Gunjo Sanka / Yuseiboushi,,,E:\Música\En otro Idioma\Eve - Yuseiboushi.mp3
Fiction,Sumika,Fiction -EP,,,E:\Música\En otro Idioma\Fiction - Sumika.mp3
Ghost Light - Korean (feat. EVERGLOW),TheFatRat,Ghost Light - Single,,K-Pop,E:\Música\En otro Idioma\Ghost Light (feat. EVERGLOW) - The FatRat.mp3
Hikarunara,Goosehouse,Hikarunara,,,E:\Música\En otro Idioma\Goosehouse - Hikarunara.mp3
Goyanomachiawase,Hello Sleepwalkers,Masked Monkey Awakening,,,E:\Música\En otro Idioma\Hello Sleepwalkers - Goyanomachiawase.mp3
Hyakki Yakou,Hello Sleepwalkers,Liquid Soul and Solid Blood,,,E:\Música\En otro Idioma\Hello Sleepwalkers - Hyakki Yakou.mp3
Shin Sekai,Hello Sleepwalkers,Shin Sekai,,,E:\Música\En otro Idioma\Hello Sleepwalkers - Shin Sekai.mp3
Plastic Smile,Kaori Ishihara,Plastic Smile,,,E:\Música\En otro Idioma\Kaori Ishihara - Plastic Smile.mp3
Katawaredoki,RADWIMPS,Your Name.,,,E:\Música\En otro Idioma\Katawaredoki - RADWIMPS.mp3
Loser,Kenshi Yonezu,LOSER / NUMBER NINE,,,E:\Música\En otro Idioma\Kenshi Yonezu - Loser.mp3
